Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,EXT WAGES,ATS PAY,LTC/LLTC ENCASH,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
736516,S7,S7,,,,900,,,,,1399,,,,,,-500,40,-500,,,100,,,,,,1618,,,
736521,S7,S7,,,,900,,,,,1399,,,,,,-500,40,,,,100,,,,,,1618,,,
736542,S6,S6,,-49,-879,,,,,,1358,,,,,,-7187,,,,,,,,,,,1571,,624,-50
736563,S9,S9,,,,900,,,,,,,,,,,-500,,-500,,,100,,,,,,1787,,,
736579,S7,S7,,-49,-130,900,,,,,1441,,,,,,-13107,40,-500,,,100,,,,,,1667,,,-50
736682,S10,S10,-33,-49,129,1800,,,,,,,,,,,,,,-120,,200,,,,,,1879,,,-75
736696,S11,S11,,-49,420,900,,,,,,,,,,,,,-500,-120,,100,,,,,,1935,,,-50
736731,S6,S6,,,,900,,,,,1398,,,,,,-5809,40,-500,,,100,,,,,,1618,,,
736771,S6,S6,-32,-49,-175,900,,,,,1398,,,,,,-2745,40,,,,100,,,,,,1618,,,-50
736787,S5,S5,-50,-99,-260,900,,,,,1319,,,,,,-500,,-500,,,100,,,,,,1526,,,-200
736792,S6,S6,,,,,,,,,1398,,,,,,-500,40,,,,,,,,,,1618,,624,
736801,S6,S6,-12,-49,-150,900,,,,,1398,,,,,,-500,40,,,,100,,,-7,,,1618,,,-50
736841,S6,S6,-34,-49,-260,900,,,,,1398,,,,,,-9264,40,,,,100,,,,,,1617,,,-75
736857,S5,S5,,,,900,,,,,1357,,,,,,-500,40,-500,,,100,,,,,,1570,,,
736878,S5,S5,,-49,-175,900,,,,,1357,,,,,,-500,40,-500,,,100,,,,,,1570,,,-50
736906,S5,S5,,-49,-449,900,,,,,1357,,,,,,-2809,40,,,,100,,,,,,1570,,,-50
736911,S5,S5,-32,-49,-380,900,,,,,1357,,,,,,-2829,15,,,,100,,,,,,1570,,,-50
736927,S5,S5,,,,900,,,,,1357,,,,,,-5867,40,,,,100,,,,,,1570,,,
736953,S5,S5,,-49,-879,900,,,,,,,,,,,-3284,40,,,,100,,,,,,1570,,,-50
736969,S4,S4,,-49,-449,900,,,,,,,,,,,-9989,40,,,,100,,,,,,1524,,,-50
736974,S4,S4,,-49,-175,900,,,,,,,,,,,-3334,,,,,100,,,,,,1480,,,-50
736981,S4,S4,-33,-49,-175,,,,,,1279,,,,,,-2648,40,,,,,,,,,,1480,,600,-50
736995,S4,S4,95,-49,-9029,900,,,,,,,,,,,-6908,,,,,100,,,,,,1480,,,-250
737006,S4,S4,60,-49,-1116,900,,,,,1279,,,,,,-10297,40,-500,,,100,,,-25,,,1480,,,-50
737011,S4,S4,-5,-49,-260,900,,,,,1279,,,,,,-500,15,,,,100,,,,,,1480,,,-75
737027,S4,S4,-32,-49,-277,900,,,,,1279,,,,,,-14391,40,,,,100,,,,,,1480,,,-50
737032,S4,S4,,-49,-175,,,,,,1279,,,,,,-3861,40,,,,,,,-12,,,1480,,480,-50
737048,S2,S2,,-49,-548,900,,,,,1206,,,,,,-12572,40,,,,100,,,-279,,,1395,,,-50
737053,S4,S4,,-49,-449,900,,,,,1279,,,,,,-5896,25,-500,,,100,,,,,,1480,,,-50
737069,S4,S4,,,,900,,,,,1279,,,,,,-500,40,,,,100,,,,,,1480,,,
737074,S4,S4,,-49,-217,900,,,,,,,,,,,,,-500,-25,,100,,,,,,1480,,,-50
737081,S3,S3,,-49,-449,900,,,,,1242,,,,,,-500,40,,,,100,,,,,,1437,,,-50
737102,S3,S3,,,,900,,,,,1205,,,,,,-500,40,-500,-25,,100,,,-6,,,1394,,,
737118,S3,S3,-20,-49,-449,900,,,,,,,,,,,-5446,,-500,-25,,100,,,-35,,,1394,,,-50
737123,S1,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737139,S3,S3,,-49,-850,900,,,,,1205,,,,,,-500,40,,-25,,100,,,,,,1394,,,-75
737144,S3,S3,,-49,420,900,,,,,1205,,,,,,-7066,40,-500,-25,,100,,,-6,,,1394,,,-50
737165,S3,S3,,-49,123,900,,,,,1205,,,,,,-500,40,,-25,,100,,,,,,1394,,,-50
737172,S3,S3,,,,900,,,,,1205,,,,,,-3839,40,-500,-25,,100,,,,,,1394,,,
737186,S3,S3,,-49,-260,900,,,,,,,,,,,-500,25,,-25,950,100,,,,,,1394,,,-75
737209,S3,S3,,,,900,,,,,1205,,,,,,-5853,40,,-25,,100,,,,,,1394,,,
737214,S3,S3,,-49,-449,900,,,,,1205,,,,,,-6998,40,,-25,,100,,,,,,1394,,,-50
737235,S3,S3,-33,-49,290,900,,,,,,,,,,,-500,,,-25,,100,,,,,,1394,,,-75
737242,S3,S3,,-49,-175,,,,,,1205,,,,,,-8997,25,-500,-25,,,,,-540,,,1394,,408,-50
737261,S3,S3,,,,900,,,,,1205,,,,,,-500,40,,,,100,,,,,,1394,,,
737277,S3,S3,,,,900,,,,,1205,,,,,,,40,,,,100,,,,,,1394,,,
737298,S3,S3,,-49,-52,900,,,,,1040,,,,,,-8178,40,-500,,,100,,,,,,1203,,,-75
737305,S2,S2,,-49,-175,900,,,,,981,,,,,,-5505,40,-500,,,100,,,,,,1134,,,-50
737312,S1,S1,,-49,-684,900,,,,,821,,,,,,-6403,40,,,,100,,,,,,950,,,-50
737326,S4,S4,,-49,-118,900,,,,,952,,,,,,-5854,40,,,,100,,,,,,1101,,,-75
737331,S4,S4,,-49,420,900,,,,,952,,,,,,-4863,40,,,,100,,,,,,1101,,,-75
737347,S3,S3,,,,900,,,,,924,,,,,,-4855,40,,,,100,,,,,,1069,,,
737352,S3,S3,,-99,-240,900,,,,,898,,30000,,,,-2876,40,,,,100,,,,,,1038,,,-200
737368,S3,S3,,,-175,,,,,,,,30000,,,,-3987,,5000,,,,,,,,,1038,,600,-75
737373,S3,S3,,-49,-260,900,,,,,898,,30000,,,,-3347,40,,,,100,,,-30,,,1038,,,-75
737389,S3,S3,,-49,420,900,,,,,,,30000,,,,-2139,40,,,,100,,,,,,1038,,,-75
