PERNO,CL,EL,FL,HPL,
735155,14,292,5,141,
735225,8,289,3,278,
735232,10,297,4,270,
735246,13,298,5,202,
735272,1,289,1,309,
735288,2,240,0,499,
735321,4,147,4,44,
735358,12,236,5,112,
735384,1,284,0,171,
735391,12,292,4,112,
735407,11,289,3,113,
735428,9,290,4,236,
735433,6,181,4,130,
735449,0,270,4,107,
735475,11,62,5,184,
735496,12,261,5,380,
735503,13,192,5,192,
735519,12,295,4,312,
735524,15,224,2,168,
735531,15,256,2,275,
735545,9,190,5,156,
735592,7,272,5,220,
735601,10,300,2,334,
735622,12,284,4,200,
735641,0,168,0,88,
735678,6,218,1,148,
735699,11,95,4,190,
735802,10,136,5,176,
735823,4,260,2,34,
735839,14,177,5,124,
735865,0,191,0,40,
735872,5,272,2,4,
735886,0,157,0,97,
735891,4,142,3,60,
735942,8,241,3,122,
735956,5,282,3,144,
735977,5,75,2,86,
736009,1,149,0,14,
736035,7,300,2,98,
736042,8,154,4,44,
736056,11,122,4,155,
736061,10,146,3,136,
736082,5,145,1,140,
736098,1,140,0,124,
736105,9,65,4,20,
736112,10,8,5,34,
736126,0,270,0,225,
736189,10,143,5,96,
736194,7,139,3,168,
736292,0,109,3,96,
736381,3,161,2,41,
736397,0,155,0,102,
736432,7,32,4,46,
736467,9,144,4,104,
736516,8,207,5,300,
736521,8,168,3,160,
736537,4,20,3,0,
736542,7,89,5,48,
736563,14,262,2,217,
736579,5,56,4,36,
736607,10,220,3,132,
736628,15,232,5,124,
736633,13,196,5,46,
736654,2,1,0,16,
736682,14,300,2,254,
736696,0,194,0,209,
736719,0,89,0,88,
736724,5,111,3,89,
736731,5,112,5,108,
736745,0,140,0,22,
736771,6,14,2,10,
736787,10,222,5,154,
736792,9,154,4,138,
736801,8,202,5,234,
736841,8,129,4,142,
736857,5,158,5,58,
736862,6,0,4,0,
736878,7,153,4,102,
736906,7,171,5,141,
736911,7,172,5,62,
736927,9,78,5,132,
736948,5,0,4,102,
736953,4,80,5,0,
736969,3,59,5,50,
736974,5,114,1,174,
736981,8,170,3,115,
736995,8,46,5,58,
737006,5,36,5,29,
737011,8,123,5,167,
737027,7,106,5,46,
737032,2,13,5,40,
737048,8,3,5,180,
737053,9,169,1,106,
737069,8,137,5,40,
737074,9,123,2,172,
737081,5,60,5,52,
737095,7,170,2,130,
737102,5,104,5,88,
737118,5,20,4,16,
737123,7,16,5,118,
737139,6,123,5,188,
737144,3,38,4,6,
737165,3,136,4,84,
737172,8,94,5,36,
737186,8,161,2,120,
737209,9,201,3,162,
737214,8,31,5,126,
737221,0,110,1,14,
737235,7,138,2,46,
737242,1,0,5,28,
737256,0,65,0,122,
737261,4,187,5,168,
737277,0,138,4,38,
737282,9,33,4,20,
737298,5,95,5,27,
737305,6,132,5,105,
737312,1,0,4,62,
737326,1,72,5,20,
737331,1,58,5,48,
737347,8,37,5,52,
737352,6,29,2,21,
737368,4,20,0,29,
737373,6,22,3,12,
737389,6,40,3,28,
