Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,MED REIMB,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,LTC/LLTC ENCASH,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HINDI AWD,HBL PRIN,HBL INT,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
735622,E3,E3,,,,,,,,,,,,,,,-13013,,,,,,,,,,-100,,1798,,14744,,,
735956,S9,S9,-33,-49,-217,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1787,,,-75
736042,S9,S9,,-49,-175,900,,,,,,,,,,,-7728,40,-500,,,,,,100,,,,,,1805,,,-50
736292,S7,S7,,-49,-217,,,,,,,,,,,,-9912,40,,,,,,,,,,,,,1667,,576,-75
736432,S7,S7,,,,900,,,,,,,,,,,-5813,40,,,,,,,100,,,,,,1667,,,
736516,S7,S7,,,,900,,,,,,,,,,,-500,40,-500,,,,,,100,,,,,,1618,,,
736521,S7,S7,,,,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1618,,,
736542,S6,S6,,-49,-879,,,,,,,,,,,,-7187,,,,,,,,,,,,,,1571,,576,-50
736563,S9,S9,,,,900,,,,,,,,,,,-500,,-500,,,,,,100,,,,,,1787,,,
736579,S7,S7,,-49,-175,900,,,,,,,,,,,-12519,40,-500,,,,,,100,,,-7,,,1667,,,-50
736682,S10,S10,-33,-49,-389,1800,,,,,,,,,,,,,,-120,1200,,,,200,,,,,,1879,,,-75
736696,S11,S11,,-49,-217,900,,,,,,,,,,,,,-500,-120,1200,,,,100,,,,,,1935,,,-50
736731,S6,S6,,,,900,,,,,,,,,,,-5809,40,-500,,,,,,100,,,,,,1618,,,
736771,S6,S6,-32,-49,-175,900,,,,,,,,,,,-2745,40,,,,,,,100,,,,,,1618,,,-50
736787,S5,S5,-50,-99,-260,900,,,,,,,,,,,-500,,,,,,,,100,,,,,,1526,,,-150
736792,S6,S6,,,,,,,,,,,,,,,-500,40,,,,,,,,,,,,,1618,,576,
736801,S6,S6,-12,-49,-150,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1618,,,-50
736841,S6,S6,-34,-49,-260,900,,,,,,,,,,,-5855,40,,,,,,,100,,,,,,1617,,,-75
