Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,MED REIMB,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HBL PRIN,HBL INT,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
736516,S7,S7,,,,900,,,,,,,,,-500,40,-500,,,,,100,,,,,,1618,,,
736521,S7,S7,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,,1618,,,
736542,S6,S6,,-49,-879,,,,,,,,,,-6443,,,,,,,,,,,,,1571,,600,-50
736563,S9,S9,,,,900,,,,,,,,,-500,,,,,,,100,,,,,,1735,,,
736579,S7,S7,,-49,-175,900,,,,,,,,,-11996,40,-500,,,,,100,,,,,,1618,,,-50
736682,S10,S10,-33,-49,5166,1800,,,,,,,,,,,,-120,,,,200,,,,,,1824,,,-75
736696,S10,S10,,-49,-217,900,,,,,,,,,,,5000,-120,,,,100,,,,,,1824,,,-50
736731,S6,S6,,,,900,,,,,,,,,-5809,40,5000,,,,,100,,,,,,1570,,,
736771,S6,S6,-32,-49,-175,900,,,,,,,,,-500,40,,,,,,100,,,,,,1570,,,-50
736787,S5,S5,-50,-99,-260,900,,,,,,,,,-500,,-500,,,,,100,,,,,,1481,,,-150
736792,S6,S6,,,,,,,,,,,,,-500,40,-500,,,,,,,,,,,1570,,432,
736801,S6,S6,-12,-49,-400,900,,,,,,,,,-500,40,,,,,,100,,,,,,1570,,,-50
736841,S6,S6,-34,-49,-1013,900,,,,,,,,,-5855,40,,,,,,100,,,,,,1570,,,-75
736857,S5,S5,,,,900,,,,,,,,,-5481,40,-500,,,,,100,,,,,,1524,,,
736878,S5,S5,,-49,-175,900,,,,,,,,,-500,40,5000,,,,,100,,,,,,1524,,,-50
736906,S5,S5,,-49,-449,900,,,,,,,,,-5977,40,-500,,,,,100,,,,,,1524,,,-50
736911,S5,S5,-32,-49,4,900,,,,,,,,,-2829,15,-500,,,,,100,,,,,,1524,,,-50
736927,S5,S5,,,,900,,,,,,,,,-5901,40,-500,,,,,100,,,,,,1524,,,
736953,S5,S5,,-49,-879,900,,,,,,,,,-8092,40,,,,,,100,,,,,,1524,,,-50
736969,S4,S4,,-49,-449,900,,,,,,,,,-8851,40,,,,,,100,,,-53,,,1480,,,-50
736974,S4,S4,,-49,-175,900,,,,,,,,,-3334,,-500,,,,,100,,,,,,1480,,,-50
736981,S4,S4,-33,-49,-175,,,,,,,,,,-500,40,,,,,,,,,,,,1480,,552,-50
736995,S4,S4,-55,-49,-2826,900,,,,,,,,,-10049,,-500,,,,,100,,,,,,1480,,,-200
737006,S4,S4,60,-49,-1589,900,,,,,,,,,-7998,40,-500,,,,,100,,,-20,,,1480,,,-50
737011,S4,S4,-5,-49,31,900,,,,,,,,,-500,15,,,,,,100,,,-13,,,1480,,,-75
737027,S4,S4,-32,-49,-277,900,,,,,,,,,-11957,40,,,,,,100,,,,,,1480,,,-50
737032,S4,S4,,-49,-175,,,,,,,,,,-8886,40,,,,,,,,,,,,1480,,480,-50
737048,S2,S2,,-49,-535,900,,,,,,,,,-9643,40,,,,,,100,,,-199,,,1395,,,-50
737053,S4,S4,,-49,-449,900,,,,,,,,,-5896,25,-500,,,,,100,,,,,,1480,,,-50
737069,S4,S4,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,,1480,,,
737074,S4,S4,,-49,22,900,,,,,,,,,,,5000,-25,,,,100,,,,,,1480,,,-50
737081,S3,S3,,-49,-449,900,,,,,,,,,-9062,40,-500,,,,,100,,,,,,1437,,,-50
737102,S3,S3,,,,900,,,,,,,,,-5895,40,-500,-25,,,,100,,,,,,1394,,,
737118,S3,S3,-20,-49,-449,900,,,,,,,,,-2741,,-500,-25,,,,100,,,,,,1394,,,-50
737123,S1,S1,,-49,42,,,,,,,,,,0,,,-25,,,,,,,-1033,,,1314,,144,-50
737139,S3,S3,,-49,420,900,,,,,,,,,-500,40,,-25,,,,100,,,,,,1394,,,-75
737144,S3,S3,,-49,420,900,,,,,,,,,-6696,40,-500,-25,,,,100,,,-6,,,1394,,,-50
737165,S3,S3,,-49,-46,900,,,,,,,,,-500,40,-500,-25,,,,100,,,,,,1394,,,-50
737172,S3,S3,,,,900,,,,,,,,,-5498,40,-500,-25,,,,100,,,,,,1394,,,
737186,S3,S3,,-49,-1314,900,,,,,,,,,-5813,25,,-25,,,600,100,,,,,,1394,,,-75
737209,S3,S3,,,,900,,,,,,,,,-5853,40,,-25,,,,100,,,,,,1394,,,
737214,S3,S3,,-49,-449,900,,,,,,,,,-5819,40,,-25,,,,100,,,,,,1394,,,-50
737235,S3,S3,-33,-49,-217,900,,,,,,,,,-500,,-500,-25,,,,100,,,,,,1394,,,-75
737242,S3,S3,,-49,-175,,,,,,,,,,-6294,25,,-25,,,,,,,,,,1394,,576,-50
737261,S3,S3,,,,900,,,,,,,,,-3575,40,,,,,,100,,,,,,1394,,,
737277,S3,S3,,,,900,,,,,,,,,,40,,,,,,100,,,,,,1354,,,
737298,S2,S2,,-49,-424,900,,,,,,,,,-6507,40,-500,,,,,100,,,,,,1134,,,-75
737305,S2,S2,,-49,-175,900,,,,,,,,,-4299,40,-500,,,,,100,,,,,,1101,,,-50
737312,S1,S1,,-49,-754,900,,,,,,,,,-12242,40,,,,,,100,,,,,,950,,,-50
737326,S3,S3,,-49,-290,900,,,,,,,,,-5917,40,-500,,,,,100,,,,,,1069,,,-75
737331,S3,S3,,-49,420,900,,,,,,,,,-4388,,,,,,,100,,,,,,1069,,,-75
737347,S3,S3,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,,1069,,,
737352,S3,S3,,-99,440,900,,,,,,,,,-2876,173,,,,,,100,,,,,,1008,,,-150
737368,S3,S3,,-49,-175,,,,,,,,,,-2910,,,,,,,,,,,,,1008,,360,-50
737373,S3,S3,,-49,-260,900,,,,,,,,,-3347,173,,,,,,100,,,-5,,,1008,,,-75
737389,S3,S3,,-49,203,900,,,,,,,,,-1643,173,,,,,,100,,,,,,1008,,,-75
