Perno,Grade,Dept_cd,SAL ADV.,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HINDI AWD,INC ADJ,LOCAL TOUR ADJ,LTE TAXABLE,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,UNION MEMBERSHIP,WATER CHGS
737048,S2,S2,,,-49,-217,900,,,,,,,,,-12572,40,,,,,,100,,-463,,,1437,,,-120,-50
737053,S4,S4,,,-49,-449,900,,,,,,,,,-5896,25,-500,,900,,,100,,,,,1524,,,-120,-50
737069,S4,S4,,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,1524,,,-120,
737074,S4,S4,,,-49,-462,900,,,,,,,,,,,-500,-25,600,,,100,,,,,1524,,,-120,-50
737081,S4,S4,,,-49,-449,900,,,,,,,,,-500,40,,,,,,100,,,,,1524,,,-120,-50
737102,S3,S3,,,,,900,,,,,,,,,-500,40,-500,-25,,,,100,,,,,1436,,,-120,
737118,S3,S3,,-20,-49,-449,900,,,,,,,,,-5446,,-500,-25,,,,100,,,,,1436,,,-120,-50
737123,S1,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737139,S3,S3,,,-49,-389,900,,,,,,,,,-4667,40,,-25,,,,100,,,,,1436,,,-120,-75
737144,S3,S3,,,-49,-217,900,,,,,,,,,-7066,40,-500,-25,,,,100,,,,,1436,,,-120,-50
737165,S3,S3,,,-49,123,900,,,,,,,,,-500,40,,-25,,,,100,,,,,1436,,,-120,-50
737172,S3,S3,,,,,900,,,,,,,,,-3839,40,-500,-25,,,,100,,,,,1436,,,-120,
737186,S3,S3,,,-49,-260,900,,,,,,,,,-500,25,,-25,,,1050,100,,,,,1436,,,-120,-75
737209,S3,S3,,,,,900,,,,,,,,,-5853,40,,-25,,,,100,,,,,1436,,,-120,
737214,S3,S3,,,-49,-449,900,,,,,,,,,-6998,40,,-25,,,,100,,,,,1436,,,-120,-50
737235,S3,S3,,-33,-49,-217,900,,,,,,,,,-500,,,-25,,,,100,,,,,1436,,,-120,-75
737242,S3,S3,,,-49,-175,,,,,,,,,,-8997,,-500,-25,,,,,,-649,,,1436,,336,-120,-50
737261,S3,S3,,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,1436,,,-120,
737277,S3,S3,,,,,900,,,,,,,,,,40,,,,,,100,,,,,1394,,,-120,
737298,S3,S3,,,-49,-106,900,,,,,,,,,-7124,40,-500,,,,,100,,,,,1203,,,-120,-75
737305,S2,S2,,,-49,-175,900,,,,,,,,,-5505,40,-500,,,,,100,,,,,1134,,,-120,-50
737312,S2,S2,,,-49,-401,900,,,,,,,,,-6403,40,,,,,,100,,-4,,,978,,,-120,-50
737326,S4,S4,,,-49,179,900,,,,,,,,,-5854,,,,,,,100,,,,,1135,,,-120,-75
737331,S4,S4,,,-49,338,900,,,,,,,,,-4863,40,,,,,,100,,,,,1135,,,-120,-75
737347,S3,S3,,,,,900,,,,,,,,,-4855,40,,,,,,100,,,,,1101,,,-120,
737352,S3,S3,,,-99,-240,900,,,,,,,,,-2876,40,,,,,,100,,,,,1038,,,-120,-200
737368,S3,S3,,,,-175,,,,,,,,,,-3987,,-500,,,,,,,,,,1038,,432,-120,-75
737373,S3,S3,,,-49,-260,900,,,,,,,,,-3347,40,,,,,,100,,,,,1038,,,-120,-75
737389,S3,S3,,,-49,355,900,,,,,,,,,-2139,,,,,,,100,,,,,1038,,,-120,-75
